,state_fips,industry_code,emp_state_ind,emp_state_total,emp_nat_ind,share,emp_nat_loo,share_of_nat
263,31,40,188043,748401,25978749,0.2512596856498054,25790706,0.007238339305714836
264,31,50,19502,748401,3018358,0.026058222797671303,2998856,0.0064611288654294816
265,31,55,62814,748401,8135115,0.0839309407657125,8072301,0.007721341370097411
266,31,60,101326,748401,17325563,0.13538998478088618,17224237,0.00584835251818368
267,31,65,110267,748401,16829499,0.14733678870017544,16719232,0.006552007281975536
268,31,70,80553,748401,12970494,0.1076334745677785,12889941,0.006210480495191625
269,31,80,25359,748401,4308397,0.03388424120224318,4283038,0.005885947836283425
270,32,10,13812,1124400,1776779,0.012283884738527215,1762967,0.0077736173153779954
271,32,20,142815,1124400,7589577,0.1270144076840982,7446762,0.018817254242232472
272,32,30,50252,1124400,14108909,0.044692280327285665,14058657,0.003561721179149997
273,32,40,225743,1124400,25978749,0.20076752045535395,25753006,0.008689525427109674
274,32,50,15161,1124400,3018358,0.013483635716826751,3003197,0.00502292968561052
275,32,55,65576,1124400,8135115,0.05832088224831021,8069539,0.008060857160593304
276,32,60,158250,1124400,17325563,0.14074172892209177,17167313,0.009133902315324472
277,32,65,87356,1124400,16829499,0.07769121309142654,16742143,0.005190647683570379
278,32,70,336970,1124400,12970494,0.2996887228744219,12633524,0.02597973523599024
279,32,80,28465,1124400,4308397,0.025315723941657774,4279932,0.006606865616144473
280,33,10,2416,541025,1776779,0.004465597708054156,1774363,0.001359763932374257
281,33,20,29443,541025,7589577,0.054420775380065615,7560134,0.003879399339383473
282,33,30,78363,541025,14108909,0.14484173559447344,14030546,0.0055541502181352224
283,33,40,141903,541025,25978749,0.26228547664156,25836846,0.00546227225953028
284,33,50,12531,541025,3018358,0.023161591423686522,3005827,0.0041515950062915
285,33,55,37541,541025,8135115,0.06938866041310475,8097574,0.004614685840335386
286,33,60,61507,541025,17325563,0.113686058869738,17264056,0.003550072225647155
287,33,65,94072,541025,16829499,0.1738773624139365,16735427,0.0055897088796285615
288,33,70,63975,541025,12970494,0.11824777043574697,12906519,0.004932348760193713
289,33,80,19274,541025,4308397,0.03562497111963403,4289123,0.004473589597244637
290,34,10,12073,3312923,1776779,0.003644213886045646,1764706,0.006794879948491062
291,34,20,172909,3312923,7589577,0.05219227854073276,7416668,0.02278242911297955
292,34,30,321825,3312923,14108909,0.09714231209116542,13787084,0.022810055688926762
293,34,40,864235,3312923,25978749,0.26086781974709344,25114514,0.03326699834545536
294,34,50,97150,3312923,3018358,0.029324557196167854,2921208,0.03218637418092884
295,34,55,266608,3312923,8135115,0.08047515743649943,7868507,0.03277249307477522
296,34,60,596296,3312923,17325563,0.17999090229383538,16729267,0.03441712110596348
297,34,65,522312,3312923,16829499,0.15765896158769763,16307187,0.031035504978490447
298,34,70,335325,3312923,12970494,0.1012172634256818,12635169,0.025852908917732818
299,34,80,124190,3312923,4308397,0.037486533795080657,4184207,0.028825105950078415
300,35,10,29966,623279,1776779,0.048077987546508064,1746813,0.016865350164539314
301,35,20,59191,623279,7589577,0.0949671014104438,7530386,0.007798985371648512
302,35,30,37659,623279,14108909,0.060420774645062646,14071250,0.002669164568288023
